area_code,cell_code,X,Y,Z,Status
F3,F31-01-01,1,1,1,enable
F3,F31-01-02,1,1,2,enable
F3,F31-02-01,1,2,1,enable
F3,F31-02-02,1,2,2,enable
F3,F31-03-01,2,1,1,enable
F3,F31-03-02,2,1,2,enable
F3,F31-04-01,2,2,1,enable
F3,F31-04-02,2,2,2,enable
F3,F31-05-01,3,1,1,enable
F3,F31-05-02,3,1,2,enable
F3,F31-06-01,3,2,1,enable
F3,F31-06-02,3,2,2,enable
F3,F31-07-01,4,1,1,enable
F3,F31-07-02,4,1,2,enable
F3,F31-08-01,4,2,1,enable
F3,F31-08-02,4,2,2,enable
F3,F31-09-01,5,1,1,enable
F3,F31-09-02,5,1,2,enable
F3,F31-10-01,5,2,1,enable
F3,F31-10-02,5,2,2,enable
F3,F31-11-01,6,1,1,enable
F3,F31-11-02,6,1,2,enable
F3,F31-12-01,6,2,1,enable
F3,F31-12-02,6,2,2,enable
F3,F31-13-01,7,1,1,enable
F3,F31-13-02,7,1,2,enable
F3,F31-14-01,7,2,1,enable
F3,F31-14-02,7,2,2,enable
F3,F31-15-01,8,1,1,enable
F3,F31-15-02,8,1,2,enable
F3,F31-16-01,8,2,1,enable
F3,F31-16-02,8,2,2,enable
F3,F31-17-01,9,1,1,enable
F3,F31-17-02,9,1,2,enable
F3,F31-18-01,9,2,1,enable
F3,F31-18-02,9,2,2,enable
F3,F31-19-01,10,1,1,enable
F3,F31-19-02,10,1,2,enable
F3,F31-20-01,10,2,1,enable
F3,F31-20-02,10,2,2,enable
F1,F11-A,1,1.5,1,enable
F1,F11-01-01,1,1,1,disable
F1,F11-02-01,1,2,1,disable
F1,F11-03-01,2,1,1,disable
F1,F11-04-01,2,2,1,disable
F1,F11-05-01,3,1,1,disable
F1,F11-06-01,3,2,1,disable
F1,F11-07-01,4,1,1,disable
F1,F11-08-01,4,2,1,disable
F1,F11-09-01,5,1,1,disable
F1,F11-10-01,5,2,1,disable
F1,F11-11-01,6,1,1,disable
F1,F11-12-01,6,2,1,disable
F1,F11-13-01,7,1,1,enable
F1,F11-13-02,7,1,2,enable
F1,F11-14-01,7,2,1,enable
F1,F11-14-02,7,2,2,enable
F1,F11-15-01,8,1,1,enable
F1,F11-15-02,8,1,2,enable
F1,F11-16-01,8,2,1,enable
F1,F11-16-02,8,2,2,enable
F1,F11-17-01,9,1,1,enable
F1,F11-17-02,9,1,2,enable
F1,F11-18-01,9,2,1,enable
F1,F11-18-02,9,2,2,enable
F1,F11-19-01,10,1,1,enable
F1,F11-19-02,10,1,2,enable
F1,F11-20-01,10,2,1,enable
F1,F11-20-02,10,2,2,enable
F1,F11-21-01,11,1,1,enable
F1,F11-21-02,11,1,2,enable
F1,F11-22-01,11,2,1,enable
F1,F11-22-02,11,2,2,enable
F1,F11-23-01,12,1,1,enable
F1,F11-23-02,12,1,2,enable
